,Median_hh_income,Total_population,Total_white_population,Percent_white_population,Percent_black_population,Average_hh_size,Percent_hh_built_1950s,Percent_hh_built_1960s,NAME,state,county,tract,suburb_house_decades,Class,Typology_Flag,Housing_Age_Flag,Combined_Flag
346,59417.0,3378.0,3260.0,96.5,2.9,2.44,22.9,7.3,"Census Tract 29.01, Wayne County, Ohio",39,169,002901,30.2,1,1,1,1
347,59639.0,3556.0,3519.0,99.0,1.7,2.62,11.5,13.0,"Census Tract 32, Wayne County, Ohio",39,169,003200,24.5,1,1,1,1
348,44453.0,1437.0,1385.0,96.4,3.3,2.28,12.1,8.5,"Census Tract 11, Wayne County, Ohio",39,169,001100,20.6,0,0,0,0
349,52839.0,7595.0,7586.0,99.9,0.0,4.12,6.7,5.3,"Census Tract 17, Wayne County, Ohio",39,169,001700,12.0,1,1,0,0
350,41269.0,2482.0,2127.0,85.7,7.9,1.87,19.3,23.3,"Census Tract 3, Wayne County, Ohio",39,169,000300,42.6,0,0,1,0
351,36107.0,4085.0,3753.0,91.9,6.7,2.17,14.7,9.8,"Census Tract 5, Wayne County, Ohio",39,169,000500,24.5,0,0,1,0
352,45185.0,5780.0,5583.0,96.6,4.3,2.21,9.2,15.2,"Census Tract 6, Wayne County, Ohio",39,169,000600,24.4,0,0,1,0
353,37052.0,3761.0,1635.0,43.5,55.6,1.81,20.5,10.7,"Census Tract 55, Hamilton County, Ohio",39,061,005500,31.2,0,0,1,0
354,11600.0,5204.0,855.0,16.4,86.3,2.53,23.6,14.5,"Census Tract 80, Hamilton County, Ohio",39,061,008000,38.1,0,0,1,0
355,37884.0,5359.0,2400.0,44.8,59.0,2.29,7.7,21.9,"Census Tract 101, Hamilton County, Ohio",39,061,010100,29.599999999999998,0,0,1,0
356,35000.0,953.0,897.0,94.1,4.8,1.65,3.4,10.2,"Census Tract 104, Hamilton County, Ohio",39,061,010400,13.6,0,0,0,0
357,38088.0,1422.0,1279.0,89.9,6.4,2.37,6.9,15.1,"Census Tract 105, Hamilton County, Ohio",39,061,010500,22.0,0,0,0,0
358,43062.0,6738.0,6051.0,89.8,2.3,1.89,18.0,7.3,"Census Tract 6, Hancock County, Ohio",39,063,000600,25.3,0,0,1,0
359,67614.0,5321.0,5310.0,99.8,1.1,2.57,2.8,3.1,"Census Tract 13, Hancock County, Ohio",39,063,001300,5.9,1,1,0,0
360,46382.0,3099.0,1525.0,49.2,56.3,2.17,24.4,3.1,"Census Tract 13.03, Lucas County, Ohio",39,095,001303,27.5,0,0,1,0
361,19668.0,1271.0,247.0,19.4,78.5,2.14,5.1,4.7,"Census Tract 15, Lucas County, Ohio",39,095,001500,9.8,0,0,0,0
362,18400.0,1283.0,356.0,27.7,69.8,2.67,2.1,1.1,"Census Tract 17, Lucas County, Ohio",39,095,001700,3.2,0,0,0,0
363,11594.0,1570.0,750.0,47.8,50.1,1.41,10.8,10.3,"Census Tract 28, Lucas County, Ohio",39,095,002800,21.1,0,0,0,0
364,8871.0,1753.0,646.0,36.9,59.2,1.85,11.2,15.7,"Census Tract 29, Lucas County, Ohio",39,095,002900,26.9,0,0,1,0
365,25542.0,1261.0,133.0,10.5,84.9,2.22,3.5,4.2,"Census Tract 36, Lucas County, Ohio",39,095,003600,7.7,0,0,0,0
366,34131.0,4956.0,2863.0,57.8,27.4,2.22,21.6,3.3,"Census Tract 7, Lucas County, Ohio",39,095,000700,24.900000000000002,0,0,1,0
367,52473.0,3944.0,2769.0,70.2,27.1,2.44,20.7,4.9,"Census Tract 3, Lucas County, Ohio",39,095,000300,25.6,0,0,1,0
368,41802.0,3529.0,2843.0,80.6,13.3,2.54,14.4,10.3,"Census Tract 4, Lucas County, Ohio",39,095,000400,24.700000000000003,0,0,1,0
369,30994.0,2995.0,1050.0,35.1,69.1,2.5,5.6,2.2,"Census Tract 16, Lucas County, Ohio",39,095,001600,7.8,0,0,0,0
370,35278.0,889.0,178.0,20.0,80.0,2.0,20.0,7.8,"Census Tract 31, Lucas County, Ohio",39,095,003100,27.8,0,0,1,0
371,32780.0,5501.0,3892.0,70.8,31.0,2.7,24.5,10.2,"Census Tract 39, Lucas County, Ohio",39,095,003900,34.7,0,0,1,0
372,17143.0,1659.0,226.0,13.6,85.5,2.38,11.1,4.2,"Census Tract 14, Lucas County, Ohio",39,095,001400,15.3,0,0,0,0
373,39091.0,1013.0,41.0,4.0,97.9,2.72,2.1,0.0,"Census Tract 26, Lucas County, Ohio",39,095,002600,2.1,0,0,0,0
